| Subnet | Maschera        | Totale IP | Usabili | Primo IP disponibile | Ultimo IP | Quanti IP puoi assegnare |
| ------ | --------------- | --------- | ------- | -------------------- | --------- | ------------------------ |
| `/24`  | 255.255.255.0   | 256       | 254     | `.1`                 | `.254`    | 254                      |
| `/25`  | 255.255.255.128 | 128       | 126     | `.129`               | `.254`    | 126                      |
| `/26`  | 255.255.255.192 | 64        | 62      | `.193`               | `.254`    | 62                       |
| `/27`  | 255.255.255.224 | 32        | 30      | `.225`               | `.254`    | 30                       |
| `/28`  | 255.255.255.240 | 16        | 14      | `.241`               | `.254`    | 14                       |
| `/29`  | 255.255.255.248 | 8         | 6       | `.249`               | `.254`    | 6                        |
| `/30`  | 255.255.255.252 | 4         | 2       | `.253`               | `.254`    | 2                        |


| Subnet | Maschera      | Totale IP | Usabili | Primo IP disponibile | Ultimo IP        | Quanti IP assegnabili |
| ------ | ------------- | --------- | ------- | -------------------- | ---------------- | --------------------- |
| `/16`  | 255.255.0.0   | 65,536    | 65,534  | `172.21.0.1`         | `172.21.255.254` | 65,534                |
| `/17`  | 255.255.128.0 | 32,768    | 32,766  | `172.21.0.1`         | `172.21.127.254` | 32,766                |
| `/18`  | 255.255.192.0 | 16,384    | 16,382  | `172.21.0.1`         | `172.21.63.254`  | 16,382                |
| `/19`  | 255.255.224.0 | 8,192     | 8,190   | `172.21.0.1`         | `172.21.31.254`  | 8,190                 |
| `/20`  | 255.255.240.0 | 4,096     | 4,094   | `172.21.0.1`         | `172.21.15.254`  | 4,094                 |
| `/21`  | 255.255.248.0 | 2,048     | 2,046   | `172.21.0.1`         | `172.21.7.254`   | 2,046                 |
| `/22`  | 255.255.252.0 | 1,024     | 1,022   | `172.21.0.1`         | `172.21.3.254`   | 1,022                 |
| `/23`  | 255.255.254.0 | 512       | 510     | `172.21.0.1`         | `172.21.1.254`   | 510                   |
| `/24`  | 255.255.255.0 | 256       | 254     | `172.21.0.1`         | `172.21.0.254`   | 254                   |

